"","ABT737_1910","AZD5582_1617","AZD8055_1059","Bortezomib_1191","Camptothecin_1003","CDK9_5038_1709","CDK9_5576_1708","Dactinomycin_1811","Dactinomycin_1911","Dactolisib_1057","Daporinad_1248","Dinaciclib_1180","Docetaxel_1007","Docetaxel_1819","Eg5_9814_1712","Epirubicin_1511","Gemcitabine_1190","GNE.317_1926","IGF1R_3801_1738","Luminespib_1559","MG.132_1862","Paclitaxel_1080","PD0325901_1060","Pictilisib_1058","Rapamycin_1084","Sepantronium.bromide_1941","Staurosporine_1034","Topotecan_1808","Trametinib_1372","Vinblastine_1004","Vincristine_1818","Vinorelbine_2048"
"E1",2,2,2,0.00451071442261133,0.0171703880881231,0.0259506512726072,2,0.029390172860211,0.00199541788440474,0.0426302507252475,0.0110794140572338,0.0310205725843338,0.00220143692806396,0.0036391409821187,0.00903826233221302,2,0.0348531728497216,2,2,0.00982017656601867,2,0.00630979513650204,0.085042469613388,2,0.0446672024806758,2,0.0149401086452636,2,2,0.00430120122349376,0.0239298054139233,0.00480131623787116
"E2",2,2,2,0.00948482766050393,0.117023284910031,0.099438764732237,2,0.258595449499398,0.0417851304936228,0.182386408924755,0.0408633779714446,0.0645140885005159,0.0470161781467069,0.260569299156154,0.15152684172047,2,0.424886401951282,2,0.530252107254587,0.042655521265975,0.178855577792842,0.097117582851511,2,2,0.0808836157044283,0.0567484727768656,0.0556474480458703,2,2,0.230056226281203,2,2
"E3",2,2,2,0.00401341315007017,0.094580684427064,0.149859889418825,2,0.097367333821847,0.00418433573661737,0.17397381832982,0.00961066003917767,0.0408641780944755,0.00528286847196634,0.110241202151406,0.0342195195974786,2,2,2,2,0.147270333215959,0.143650891368316,0.0331261657170816,2,2,0.0927233408227462,0.00493024138681313,0.0363296476230681,2,2,0.0124001501371484,0.129696668335637,0.0292819487297414
"E4",2,0.362853989152413,2,0.0154985133108889,2,0.0439107839833531,0.556750464687259,0.279273421899772,0.0786216502500502,0.161849517137544,0.0390273462745158,0.0528129729847691,0.250378426877424,0.403178632544165,1.04248543915029,2,2,0.513714444947934,2,0.281107789929069,0.273718561013343,0.24759776167625,2,1.00887612265552,0.356341831056332,0.0146809421961497,0.110805655491218,2,2,2,2,2
"E5",0.254356708705245,2,0.263415028127275,0.018654499674363,0.0360017435034525,2,2,0.0235170301722286,0.00393646299991358,2,0.00134361996596531,2,0.00550610612907797,2,0.0208080413090598,0.317491927300705,0.247025754177235,2,2,2,0.27692489311398,2,2,2,0.360965387915293,0.00122741326578215,0.190367422615373,0.117227664574276,0.220178050115616,0.0010965601280778,0.0360475370668981,0.00652056368886628
"E6",2,2,2,0.00485065949875079,0.0357906179334819,0.0305141807670654,2,0.0722064314430559,0.00363083408318659,0.0514824873631007,0.0158990869471787,0.0294937601787696,0.00494954070366473,0.0187966758525317,0.018946443728181,2,0.0653051997362405,2,2,0.0140585557312122,2,0.00728594453999421,2,2,0.0462582123704742,0.0372390039009783,0.0185278703217055,2,2,0.0169058272199352,0.0695000356576565,0.019811721691632
