AgeGroup,Differentiation,Stemness
"Age[20,60)",0.126759814,0.098889634
"Age[60,90)",0.085417707,0.039929434
"Age[60,90)",0.060245025,0.065596398
"Age[60,90)",0.108667085,0.061746636
"Age[60,90)",0.101382102,0.059521567
"Age[60,90)",0.069938951,0.04810379
"Age[60,90)",0.094102386,0.066044209
"Age[60,90)",0.091884203,0.07379674
"Age[60,90)",0.042259124,0.040148813
"Age[60,90)",0.084281766,0.071150289
"Age[60,90)",0.091408304,0.056338775
"Age[60,90)",0.072870246,0.042082536
"Age[20,60)",0.120940448,0.063733344
"Age[20,60)",0.059137796,0.034156729
"Age[20,60)",0.11469334,0.058794999
"Age[20,60)",0.113720321,0.077240718
"Age[20,60)",0.071741832,0.056587844
"Age[20,60)",0.122598485,0.078134379
"Age[60,90)",0.096118084,0.051665686
"Age[60,90)",0.084943408,0.032517706
"Age[60,90)",0.076023504,0.056571563
"Age[60,90)",0.13976101,0.06852504
"Age[60,90)",0.076553785,0.071845993
"Age[60,90)",0.098410101,0.060963239
"Age[60,90)",0.118374581,0.0507149
"Age[60,90)",0.119332487,0.084975197
"Age[60,90)",0.089278118,0.054904893
"Age[60,90)",0.105842375,0.078469746
"Age[60,90)",0.090119937,0.053703679
"Age[60,90)",0.090309302,0.051030436
"Age[60,90)",0.129296355,0.063075289
"Age[20,60)",0.131340684,0.075229636
"Age[20,60)",0.118535494,0.088815711
"Age[20,60)",0.122520786,0.061030618
"Age[20,60)",0.146929326,0.070482399
"Age[20,60)",0.088214765,0.069081439
"Age[20,60)",0.123081314,0.070115516
"Age[20,60)",0.127410237,0.068068781
"Age[20,60)",0.119218087,0.059072064
"Age[20,60)",0.120878025,0.095039099
"Age[20,60)",0.140002311,0.085992962
"Age[20,60)",0.108278065,0.060003067
"Age[20,60)",0.14491266,0.095335211
"Age[20,60)",0.131109722,0.07706982
"Age[20,60)",0.122097063,0.080069638
"Age[20,60)",0.14192302,0.087804504
"Age[20,60)",0.088134283,0.061455482
"Age[20,60)",0.121401635,0.072827203
"Age[20,60)",0.110695766,0.055814829
"Age[20,60)",0.111005226,0.069864076
"Age[20,60)",0.106176116,0.067278543
"Age[20,60)",0.123341042,0.103049539
"Age[20,60)",0.116547291,0.084701922
"Age[20,60)",0.129557521,0.072267859
"Age[20,60)",0.136249139,0.083593751
"Age[20,60)",0.108925925,0.059563268
"Age[20,60)",0.124699159,0.061806807
"Age[20,60)",0.111270642,0.066954325
"Age[20,60)",0.127764928,0.076127933
"Age[20,60)",0.114851536,0.079578835
"Age[20,60)",0.054555664,0.04234718
"Age[20,60)",0.121492998,0.077000075
"Age[20,60)",0.11647642,0.076612443
"Age[20,60)",0.109210943,0.043154895
"Age[20,60)",0.13151132,0.07470117
"Age[20,60)",0.090435693,0.049020102
"Age[20,60)",0.082494269,0.052152353
"Age[20,60)",0.087394234,0.053998754
"Age[20,60)",0.152771407,0.083122296
