CellType,Organ,CellNum
FCPC,FetalAdrenalGland,1
iCAF,FetalAdrenalGland,0
LipFB,FetalAdrenalGland,0
MetFB,FetalAdrenalGland,0
myoCAF,FetalAdrenalGland,0
PapFB,FetalAdrenalGland,0
ProFB,FetalAdrenalGland,0
UniFB,FetalAdrenalGland,49
ActFB,FetalBrain,18
apCAF,FetalBrain,3
CycFB,FetalBrain,165
CytFB,FetalBrain,0
DerFB,FetalBrain,1
DevFB,FetalBrain,13
EpiFB,FetalBrain,0
FCC,FetalBrain,0
FCPC,FetalBrain,0
iCAF,FetalBrain,0
LipFB,FetalBrain,0
MetFB,FetalBrain,0
myoCAF,FetalBrain,1
PapFB,FetalBrain,0
ProFB,FetalBrain,0
UniFB,FetalBrain,10
ActFB,FetalCalvaria,357
apCAF,FetalCalvaria,8
CycFB,FetalCalvaria,1872
CytFB,FetalCalvaria,0
DerFB,FetalCalvaria,36
DevFB,FetalCalvaria,13
EpiFB,FetalCalvaria,0
FCC,FetalCalvaria,0
FCPC,FetalCalvaria,0
iCAF,FetalCalvaria,4
LipFB,FetalCalvaria,0
MetFB,FetalCalvaria,0
myoCAF,FetalCalvaria,1
PapFB,FetalCalvaria,0
ProFB,FetalCalvaria,112
UniFB,FetalCalvaria,49
ActFB,FetalEyes,0
apCAF,FetalEyes,0
CycFB,FetalEyes,102
CytFB,FetalEyes,0
DerFB,FetalEyes,3
DevFB,FetalEyes,0
EpiFB,FetalEyes,0
FCC,FetalEyes,0
FCPC,FetalEyes,0
iCAF,FetalEyes,0
LipFB,FetalEyes,0
MetFB,FetalEyes,0
myoCAF,FetalEyes,0
PapFB,FetalEyes,0
ProFB,FetalEyes,0
UniFB,FetalEyes,2
ActFB,FetalFemaleGonad,0
apCAF,FetalFemaleGonad,0
CycFB,FetalFemaleGonad,98
CytFB,FetalFemaleGonad,0
DerFB,FetalFemaleGonad,0
DevFB,FetalFemaleGonad,0
EpiFB,FetalFemaleGonad,0
FCC,FetalFemaleGonad,0
FCPC,FetalFemaleGonad,0
iCAF,FetalFemaleGonad,0
LipFB,FetalFemaleGonad,0
MetFB,FetalFemaleGonad,0
myoCAF,FetalFemaleGonad,0
PapFB,FetalFemaleGonad,0
ProFB,FetalFemaleGonad,0
UniFB,FetalFemaleGonad,8
ActFB,FetalHeart,16
apCAF,FetalHeart,2
CycFB,FetalHeart,864
CytFB,FetalHeart,0
DerFB,FetalHeart,17
DevFB,FetalHeart,1
EpiFB,FetalHeart,0
FCC,FetalHeart,0
FCPC,FetalHeart,1
iCAF,FetalHeart,1
LipFB,FetalHeart,1
MetFB,FetalHeart,0
myoCAF,FetalHeart,0
PapFB,FetalHeart,0
ProFB,FetalHeart,0
UniFB,FetalHeart,139
ActFB,FetalIntestine,14
apCAF,FetalIntestine,8
CycFB,FetalIntestine,134
CytFB,FetalIntestine,0
DerFB,FetalIntestine,2
DevFB,FetalIntestine,2
EpiFB,FetalIntestine,0
FCC,FetalIntestine,0
FCPC,FetalIntestine,0
iCAF,FetalIntestine,0
LipFB,FetalIntestine,0
MetFB,FetalIntestine,0
myoCAF,FetalIntestine,1
PapFB,FetalIntestine,0
ProFB,FetalIntestine,2
UniFB,FetalIntestine,9
ActFB,FetalKidney,43
apCAF,FetalKidney,2
CycFB,FetalKidney,254
CytFB,FetalKidney,0
DerFB,FetalKidney,5
DevFB,FetalKidney,4
EpiFB,FetalKidney,0
FCC,FetalKidney,0
FCPC,FetalKidney,0
iCAF,FetalKidney,1
LipFB,FetalKidney,0
MetFB,FetalKidney,0
myoCAF,FetalKidney,0
PapFB,FetalKidney,0
ProFB,FetalKidney,2
UniFB,FetalKidney,13
ActFB,FetalLung,18
apCAF,FetalLung,2
CycFB,FetalLung,69
CytFB,FetalLung,0
DerFB,FetalLung,0
DevFB,FetalLung,1
EpiFB,FetalLung,0
FCC,FetalLung,0
FCPC,FetalLung,1
iCAF,FetalLung,0
LipFB,FetalLung,0
MetFB,FetalLung,0
myoCAF,FetalLung,1
PapFB,FetalLung,0
ProFB,FetalLung,1
UniFB,FetalLung,3
ActFB,FetalMaleGonad,3
apCAF,FetalMaleGonad,0
CycFB,FetalMaleGonad,369
CytFB,FetalMaleGonad,0
DerFB,FetalMaleGonad,7
DevFB,FetalMaleGonad,15
EpiFB,FetalMaleGonad,0
FCC,FetalMaleGonad,0
FCPC,FetalMaleGonad,0
iCAF,FetalMaleGonad,0
LipFB,FetalMaleGonad,0
MetFB,FetalMaleGonad,0
myoCAF,FetalMaleGonad,0
PapFB,FetalMaleGonad,0
ProFB,FetalMaleGonad,0
UniFB,FetalMaleGonad,75
ActFB,FetalMuscle,181
apCAF,FetalMuscle,12
CycFB,FetalMuscle,7412
CytFB,FetalMuscle,0
DerFB,FetalMuscle,18
DevFB,FetalMuscle,6
