Trait	CellType	mcz	mcp
BMD-HT	DevFB	1.572077	0.068931065
BMD-HT	EpiFB	2.3990128	0.02097902
BMD-HT	FCC	3.64678	0.004995005
BMD-HT	FCPC	6.517361	0.000999001
BMD-HT	iCAF	4.857443	0.001998002
BMD-HT	LipFB	10.066946	0.000999001
BMD-HT	MetFB	4.698889	0.000999001
BMD-HT	myoCAF	3.3986194	0.008991009
BMD-HT	PapFB	2.5730278	0.003996004
BMD-HT	ProFB	9.150427	0.000999001
BMD-HT	UniFB	5.0329823	0.000999001
BMI	ActFB	4.116198	0.001998002
BMI	apCAF	11.102045	0.000999001
BMI	CycFB	10.886023	0.000999001
BMI	CytFB	14.831031	0.000999001
BMI	DerFB	0.9983535	0.16583416
BMI	DevFB	2.6867144	0.001998002
BMI	EpiFB	3.0505147	0.005994006
BMI	FCC	1.4079959	0.07392608
BMI	FCPC	2.2446566	0.017982017
BMI	iCAF	4.7008853	0.001998002
BMI	LipFB	14.70376	0.000999001
BMI	MetFB	3.7316055	0.001998002
BMI	myoCAF	6.687995	0.000999001
BMI	PapFB	3.2417896	0.000999001
BMI	ProFB	11.114583	0.000999001
BMI	UniFB	5.4391737	0.000999001
BMR	ActFB	4.680465	0.000999001
BMR	apCAF	9.593725	0.000999001
BMR	CycFB	6.9162836	0.000999001
BMR	CytFB	13.382029	0.000999001
BMR	DerFB	3.4950318	0.002997003
BMR	DevFB	1.7674158	0.04895105
BMR	EpiFB	2.6285155	0.014985015
BMR	FCC	2.3882535	0.027972028
BMR	FCPC	3.4274755	0.002997003
BMR	iCAF	3.2969522	0.010989011
BMR	LipFB	10.17692	0.000999001
BMR	MetFB	3.743749	0.001998002
BMR	myoCAF	3.9260964	0.004995005
BMR	PapFB	2.1439986	0.00999001
BMR	ProFB	7.376934	0.000999001
BMR	UniFB	3.656851	0.006993007
BP	ActFB	-0.7123696	0.7602398
BP	apCAF	2.7602122	0.022977022
BP	CycFB	0.91848755	0.15984017
BP	CytFB	2.7881994	0.017982017
BP	DerFB	0.46854785	0.3106893
BP	DevFB	0.49815074	0.3096903
BP	EpiFB	-0.3364798	0.6233766
BP	FCC	0.24350177	0.35064936
BP	FCPC	-0.9985544	0.84215784
BP	iCAF	2.3959098	0.02997003
BP	LipFB	3.555816	0.006993007
BP	MetFB	1.5481187	0.064935066
BP	myoCAF	1.3518718	0.0999001
BP	PapFB	-1.0597751	0.84815186
BP	ProFB	1.7294341	0.056943055
BP	UniFB	2.4367735	0.026973028
BreastCancer	ActFB	3.5771105	0.004995005
BreastCancer	apCAF	6.452257	0.000999001
BreastCancer	CycFB	5.5246572	0.000999001
BreastCancer	CytFB	9.25264	0.000999001
BreastCancer	DerFB	0.18252319	0.4215784
BreastCancer	DevFB	0.84163177	0.1938062
BreastCancer	EpiFB	1.405197	0.08191808
BreastCancer	FCC	1.6522735	0.062937066
BreastCancer	FCPC	2.8918176	0.007992008
BreastCancer	iCAF	3.3667998	0.008991009
BreastCancer	LipFB	7.638475	0.000999001
BreastCancer	MetFB	1.5111839	0.068931065
BreastCancer	myoCAF	1.3082802	0.0999001
