Trait	CellType	mcz	mcp
MDD	CytFB	13.001083	0.000999001
MDD	DerFB	0.24121231	0.38061938
MDD	DevFB	2.5887864	0.005994006
MDD	EpiFB	1.9258915	0.035964034
MDD	FCC	2.9634323	0.005994006
MDD	FCPC	2.783356	0.012987013
MDD	iCAF	3.6699314	0.003996004
MDD	LipFB	10.573384	0.000999001
MDD	MetFB	3.5282114	0.002997003
MDD	myoCAF	4.7152276	0.001998002
MDD	PapFB	3.529028	0.000999001
MDD	ProFB	6.5280776	0.000999001
MDD	UniFB	3.3713996	0.00999001
MNP	ActFB	-0.606147	0.7202797
MNP	apCAF	0.09742628	0.36963037
MNP	CycFB	0.26434478	0.37962037
MNP	CytFB	0.55868554	0.22577423
MNP	DerFB	-1.0062875	0.84615386
MNP	DevFB	1.1829364	0.12687312
MNP	EpiFB	-0.19763365	0.5764236
MNP	FCC	-0.40118358	0.62837166
MNP	FCPC	1.1558198	0.13286713
MNP	iCAF	1.9051836	0.03996004
MNP	LipFB	0.9667852	0.14985014
MNP	MetFB	1.2399336	0.10689311
MNP	myoCAF	1.7806801	0.05794206
MNP	PapFB	0.8350114	0.1918082
MNP	ProFB	0.38385463	0.33466533
MNP	UniFB	1.0467942	0.12487513
MNR	ActFB	0.8755435	0.16983017
MNR	apCAF	7.850591	0.000999001
MNR	CycFB	2.0902255	0.030969031
MNR	CytFB	8.739742	0.000999001
MNR	DerFB	0.46222615	0.3106893
MNR	DevFB	0.106194735	0.44555444
MNR	EpiFB	1.5480181	0.07092907
MNR	FCC	2.0579686	0.037962038
MNR	FCPC	1.5028586	0.08191808
MNR	iCAF	2.8094304	0.016983017
MNR	LipFB	6.8456583	0.000999001
MNR	MetFB	1.5839081	0.060939062
MNR	myoCAF	2.8395011	0.014985015
MNR	PapFB	0.062427547	0.4865135
MNR	ProFB	6.3831697	0.000999001
MNR	UniFB	2.3432283	0.02997003
MONO	ActFB	4.0803127	0.001998002
MONO	apCAF	1.1730425	0.11988012
MONO	CycFB	3.489418	0.007992008
MONO	CytFB	3.6306834	0.010989011
MONO	DerFB	1.2118133	0.11188811
MONO	DevFB	1.4189425	0.08691309
MONO	EpiFB	2.6929514	0.013986014
MONO	FCC	3.6930869	0.002997003
MONO	FCPC	3.8263254	0.000999001
MONO	iCAF	3.0804431	0.006993007
MONO	LipFB	3.3640776	0.004995005
MONO	MetFB	3.3564773	0.000999001
MONO	myoCAF	6.628961	0.000999001
MONO	PapFB	1.4960932	0.064935066
MONO	ProFB	1.6698794	0.05894106
MONO	UniFB	0.6865913	0.21778221
MorningPerson	ActFB	4.124368	0.001998002
MorningPerson	apCAF	9.467869	0.000999001
MorningPerson	CycFB	6.6569567	0.000999001
MorningPerson	CytFB	11.984279	0.000999001
MorningPerson	DerFB	-0.59136343	0.7122877
MorningPerson	DevFB	1.2627139	0.12487513
MorningPerson	EpiFB	3.4690554	0.004995005
MorningPerson	FCC	1.9985458	0.037962038
MorningPerson	FCPC	3.090188	0.003996004
MorningPerson	iCAF	2.303305	0.02897103
MorningPerson	LipFB	12.022103	0.000999001
MorningPerson	MetFB	3.2495682	0.004995005
MorningPerson	myoCAF	5.3227944	0.000999001
MorningPerson	PapFB	1.9335053	0.033966035
MorningPerson	ProFB	7.249812	0.000999001
MorningPerson	UniFB	3.0068767	0.010989011
MS	ActFB	5.0209913	0.000999001
MS	apCAF	2.6724415	0.02997003
MS	CycFB	5.081623	0.000999001
MS	CytFB	3.2661922	0.010989011
MS	DerFB	1.9589204	0.034965035
MS	DevFB	0.7589558	0.20979021
MS	EpiFB	-0.25309157	0.58841157
MS	FCC	6.3314905	0.000999001
MS	FCPC	4.88674	0.000999001
MS	iCAF	5.9261236	0.000999001
MS	LipFB	-0.09929054	0.4995005
MS	MetFB	4.671366	0.000999001
MS	myoCAF	8.608035	0.000999001
MS	PapFB	-0.0059983605	0.5024975
MS	ProFB	1.7452288	0.04995005
MS	UniFB	8.767332	0.000999001
NCH	ActFB	2.1339111	0.03996004
NCH	apCAF	6.9092455	0.000999001
NCH	CycFB	3.1739833	0.010989011
NCH	CytFB	9.167353	0.000999001
NCH	DerFB	-0.26037842	0.6083916
NCH	DevFB	1.0650102	0.14585415
NCH	EpiFB	0.8360699	0.1928072
NCH	FCC	-0.23729469	0.55044955
NCH	FCPC	1.6242169	0.061938062
NCH	iCAF	1.9250146	0.04295704
NCH	LipFB	9.41657	0.000999001
NCH	MetFB	1.5628083	0.07092907
NCH	myoCAF	3.1056724	0.011988012
NCH	PapFB	2.0940208	0.008991009
NCH	ProFB	5.283052	0.000999001
NCH	UniFB	1.7046905	0.06593407
NRT	ActFB	5.9574246	0.000999001
NRT	apCAF	11.158227	0.000999001
NRT	CycFB	7.8608212	0.000999001
NRT	CytFB	13.658705	0.000999001
NRT	DerFB	0.9044672	0.17782217
NRT	DevFB	2.8916166	0.002997003
NRT	EpiFB	3.6226525	0.005994006
NRT	FCC	1.9787723	0.03996004
NRT	FCPC	3.346743	0.003996004
NRT	iCAF	4.196101	0.003996004
NRT	LipFB	12.63229	0.000999001
NRT	MetFB	3.391254	0.002997003
NRT	myoCAF	6.0267887	0.000999001
NRT	PapFB	2.9919305	0.001998002
NRT	ProFB	7.01728	0.000999001
NRT	UniFB	2.5645587	0.025974026
PBC	ActFB	5.129066	0.000999001
PBC	apCAF	2.7579184	0.024975024
PBC	CycFB	2.3457327	0.022977022
PBC	CytFB	3.2602422	0.010989011
PBC	DerFB	0.7996249	0.20479521
PBC	DevFB	-1.5312921	0.953047
PBC	EpiFB	2.1980715	0.02997003
PBC	FCC	3.6533575	0.001998002
PBC	FCPC	4.356073	0.001998002
PBC	iCAF	2.1097136	0.04195804
PBC	LipFB	3.789869	0.005994006
PBC	MetFB	2.9005501	0.006993007
PBC	myoCAF	4.604045	0.003996004
PBC	PapFB	0.5468614	0.28771228
PBC	ProFB	0.94664335	0.16183816
PBC	UniFB	2.8233147	0.015984016
PLT	ActFB	3.9461534	0.003996004
PLT	apCAF	2.8369412	0.018981019
PLT	CycFB	1.3580751	0.0939061
PLT	CytFB	4.6860037	0.002997003
PLT	DerFB	1.0061558	0.14385614
PLT	DevFB	0.59790194	0.27672327
PLT	EpiFB	4.236702	0.001998002
PLT	FCC	2.3034241	0.027972028
PLT	FCPC	2.9878964	0.006993007
PLT	iCAF	3.9666102	0.005994006
PLT	LipFB	6.400872	0.000999001
PLT	MetFB	4.950426	0.000999001
PLT	myoCAF	4.5268116	0.002997003
PLT	PapFB	0.23161773	0.41558442
PLT	ProFB	4.790301	0.001998002
PLT	UniFB	5.975928	0.001998002
RA	ActFB	0.80430186	0.17482518
RA	apCAF	-0.057069153	0.4005994
RA	CycFB	0.29463938	0.31768233
RA	CytFB	0.41806972	0.24175824
RA	DerFB	0.7966121	0.20479521
RA	DevFB	-0.7448575	0.7692308
RA	EpiFB	1.1174253	0.123876125
RA	FCC	3.9501984	0.001998002
RA	FCPC	1.098327	0.13186814
RA	iCAF	-0.39796788	0.6233766
RA	LipFB	0.36595464	0.3056943
RA	MetFB	1.1716299	0.11988012
RA	myoCAF	4.2966185	0.002997003
RA	PapFB	0.9446557	0.17082918
RA	ProFB	0.7443407	0.2107892
RA	UniFB	0.7257436	0.20479521
RBC	ActFB	1.3513417	0.101898104
RBC	apCAF	0.3573861	0.26473525
RBC	CycFB	-1.1950178	0.9100899
RBC	CytFB	1.3213919	0.0939061
RBC	DerFB	0.9132478	0.18381618
RBC	DevFB	1.1912702	0.12287712
RBC	EpiFB	2.3561492	0.023976024
RBC	FCC	2.3340824	0.030969031
RBC	FCPC	2.590044	0.00999001
RBC	iCAF	4.8522477	0.001998002
RBC	LipFB	3.2538984	0.006993007
RBC	MetFB	0.8083305	0.18981019
RBC	myoCAF	3.5403962	0.007992008
RBC	PapFB	0.56305724	0.3036963
RBC	ProFB	1.3357753	0.08991009
RBC	UniFB	6.998682	0.000999001
RDW	ActFB	6.028164	0.001998002
RDW	apCAF	2.894846	0.02097902
RDW	CycFB	0.6040948	0.23876125
RDW	CytFB	5.0422306	0.001998002
RDW	DerFB	2.5242126	0.013986014
RDW	DevFB	1.5484414	0.068931065
RDW	EpiFB	2.512552	0.021978023
RDW	FCC	3.9351897	0.005994006
RDW	FCPC	7.3555536	0.000999001
RDW	iCAF	7.225205	0.000999001
RDW	LipFB	7.8140554	0.000999001
RDW	MetFB	3.6649427	0.001998002
RDW	myoCAF	4.375499	0.002997003
RDW	PapFB	-1.4761491	0.9260739
RDW	ProFB	2.1099188	0.035964034
RDW	UniFB	6.5893936	0.000999001
ReactionTime	ActFB	1.550543	0.07292707
ReactionTime	apCAF	11.747337	0.000999001
ReactionTime	CycFB	4.9266815	0.002997003
ReactionTime	CytFB	11.524629	0.000999001
ReactionTime	DerFB	0.47527114	0.3006993
ReactionTime	DevFB	1.9777243	0.02997003
ReactionTime	EpiFB	2.2107708	0.023976024
ReactionTime	FCC	0.28287706	0.35064936
ReactionTime	FCPC	1.4634106	0.08091908
ReactionTime	iCAF	2.4781222	0.018981019
ReactionTime	LipFB	10.167414	0.000999001
ReactionTime	MetFB	1.3652492	0.08391608
ReactionTime	myoCAF	5.9670243	0.000999001
ReactionTime	PapFB	1.4104452	0.07992008
ReactionTime	ProFB	5.2910113	0.001998002
ReactionTime	UniFB	1.587779	0.068931065
RR-ENT	ActFB	1.2466552	0.10789211
RR-ENT	apCAF	4.22081	0.001998002
RR-ENT	CycFB	4.6995106	0.002997003
RR-ENT	CytFB	5.9429646	0.000999001
RR-ENT	DerFB	0.19878173	0.4015984
RR-ENT	DevFB	2.3571982	0.015984016
RR-ENT	EpiFB	3.006605	0.008991009
RR-ENT	FCC	-0.30121273	0.5744256
RR-ENT	FCPC	0.871491	0.1938062
RR-ENT	iCAF	1.9260919	0.037962038
RR-ENT	LipFB	5.232744	0.001998002
RR-ENT	MetFB	2.0362442	0.033966035
RR-ENT	myoCAF	1.7046043	0.05894106
RR-ENT	PapFB	2.3994014	0.004995005
RR-ENT	ProFB	3.8271677	0.002997003
RR-ENT	UniFB	1.2939543	0.0959041
SBP	ActFB	4.1332254	0.003996004
SBP	apCAF	8.980274	0.000999001
SBP	CycFB	6.0917187	0.000999001
SBP	CytFB	11.747486	0.000999001
SBP	DerFB	0.90790313	0.18581419
SBP	DevFB	1.977744	0.026973028
SBP	EpiFB	3.5528383	0.004995005
SBP	FCC	3.3003433	0.008991009
SBP	FCPC	4.0980253	0.001998002
SBP	iCAF	3.855285	0.005994006
SBP	LipFB	8.537374	0.000999001
SBP	MetFB	4.5288897	0.000999001
SBP	myoCAF	6.2240295	0.000999001
SBP	PapFB	2.5039904	0.002997003
SBP	ProFB	7.8305726	0.000999001
SBP	UniFB	4.376713	0.001998002
SCZ	ActFB	3.7871459	0.004995005
SCZ	apCAF	10.803334	0.000999001
SCZ	CycFB	6.887264	0.000999001
SCZ	CytFB	14.036756	0.000999001
SCZ	DerFB	0.9060565	0.17082918
SCZ	DevFB	1.8565073	0.03996004
SCZ	EpiFB	1.7076268	0.04795205
SCZ	FCC	1.8804085	0.04995005
SCZ	FCPC	1.436844	0.07492507
SCZ	iCAF	5.185855	0.001998002
SCZ	LipFB	12.442585	0.000999001
SCZ	MetFB	2.819956	0.00999001
SCZ	myoCAF	7.0658407	0.000999001
SCZ	PapFB	2.6136498	0.001998002
SCZ	ProFB	7.6148615	0.000999001
SCZ	UniFB	3.8199224	0.007992008
SHBG	ActFB	2.2708025	0.024975024
SHBG	apCAF	1.4816395	0.08591408
SHBG	CycFB	3.1353662	0.00999001
SHBG	CytFB	2.7916946	0.015984016
SHBG	DerFB	2.9274616	0.004995005
SHBG	DevFB	-0.11198172	0.52747256
SHBG	EpiFB	0.72173285	0.22177823
SHBG	FCC	2.5350738	0.02097902
SHBG	FCPC	3.420636	0.004995005
SHBG	iCAF	5.7925043	0.000999001
SHBG	LipFB	6.3533974	0.000999001
SHBG	MetFB	3.9571319	0.000999001
SHBG	myoCAF	5.799819	0.000999001
SHBG	PapFB	1.0418053	0.13786213
SHBG	ProFB	1.765034	0.050949052
SHBG	UniFB	7.819495	0.000999001
SLE	ActFB	0.718249	0.1958042
SLE	apCAF	1.4759389	0.08891109
SLE	CycFB	0.96878636	0.14385614
SLE	CytFB	0.6323929	0.21778221
SLE	DerFB	0.57126915	0.27272728
SLE	DevFB	-0.22969986	0.58841157
SLE	EpiFB	1.0263731	0.15684316
SLE	FCC	2.5859077	0.012987013
SLE	FCPC	2.2497957	0.02097902
SLE	iCAF	1.3153454	0.101898104
SLE	LipFB	0.93502855	0.14885116
SLE	MetFB	2.8555133	0.003996004
SLE	myoCAF	0.2942493	0.3106893
SLE	PapFB	0.9302806	0.17882118
SLE	ProFB	-0.4041971	0.63336664
SLE	UniFB	0.55554146	0.24175824
SleepDuration	ActFB	0.49522746	0.26373628
SleepDuration	apCAF	7.7495995	0.000999001
SleepDuration	CycFB	3.4252572	0.007992008
SleepDuration	CytFB	9.77173	0.000999001
SleepDuration	DerFB	-0.73689157	0.76123875
SleepDuration	DevFB	0.5191024	0.28871128
SleepDuration	EpiFB	0.78954476	0.21978022
SleepDuration	FCC	0.0488541	0.43756244
SleepDuration	FCPC	-0.7392901	0.7602398
SleepDuration	iCAF	1.769606	0.055944055
SleepDuration	LipFB	6.8085566	0.000999001
SleepDuration	MetFB	0.752019	0.21278721
SleepDuration	myoCAF	3.2132564	0.00999001
SleepDuration	PapFB	1.5329288	0.04795205
SleepDuration	ProFB	5.7847548	0.000999001
SleepDuration	UniFB	1.3661929	0.09190809
Smoking	ActFB	5.7228684	0.000999001
Smoking	apCAF	12.725699	0.000999001
Smoking	CycFB	9.364397	0.000999001
Smoking	CytFB	15.544317	0.000999001
Smoking	DerFB	-0.0017696104	0.48051947
Smoking	DevFB	3.1563075	0.001998002
Smoking	EpiFB	3.2250063	0.004995005
Smoking	FCC	1.6500375	0.05294705
Smoking	FCPC	3.0934117	0.006993007
Smoking	iCAF	5.392354	0.000999001
Smoking	LipFB	14.896002	0.000999001
Smoking	MetFB	4.698919	0.000999001
Smoking	myoCAF	6.6573567	0.000999001
Smoking	PapFB	2.5883226	0.003996004
Smoking	ProFB	10.2403965	0.000999001
Smoking	UniFB	5.355172	0.000999001
SWB	ActFB	7.9631667	0.000999001
SWB	apCAF	13.1816635	0.000999001
SWB	CycFB	13.026839	0.000999001
SWB	CytFB	17.033659	0.000999001
SWB	DerFB	1.6606275	0.066933066
SWB	DevFB	2.736025	0.002997003
SWB	EpiFB	4.1646605	0.000999001
SWB	FCC	5.1928225	0.000999001
SWB	FCPC	6.945847	0.000999001
SWB	iCAF	8.639478	0.000999001
SWB	LipFB	16.183044	0.000999001
SWB	MetFB	6.979681	0.000999001
SWB	myoCAF	9.518897	0.000999001
SWB	PapFB	3.571352	0.000999001
SWB	ProFB	13.007637	0.000999001
SWB	UniFB	9.912091	0.000999001
T1D	ActFB	1.6116452	0.07292707
T1D	apCAF	-0.3416259	0.56443554
T1D	CycFB	1.1469872	0.112887114
T1D	CytFB	0.8252256	0.16483517
T1D	DerFB	0.38974786	0.32867134
T1D	DevFB	-0.5122556	0.7012987
T1D	EpiFB	-0.09266353	0.5014985
T1D	FCC	1.4130785	0.09290709
T1D	FCPC	1.2376473	0.10989011
T1D	iCAF	1.9564666	0.050949052
T1D	LipFB	0.7005776	0.2007992
T1D	MetFB	-0.15613174	0.55044955
T1D	myoCAF	5.516063	0.000999001
T1D	PapFB	-0.22487181	0.6193806
T1D	ProFB	0.09966673	0.43756244
T1D	UniFB	0.5648971	0.23176824
T2D	ActFB	-0.31904963	0.5824176
T2D	apCAF	0.67157024	0.18581419
T2D	CycFB	-0.7119015	0.7782218
T2D	CytFB	2.02455	0.04895105
T2D	DerFB	1.6913979	0.055944055
T2D	DevFB	0.08285636	0.46553448
T2D	EpiFB	0.44052693	0.2907093
T2D	FCC	0.020596273	0.44655344
T2D	FCPC	1.8379934	0.03996004
T2D	iCAF	1.4274906	0.08291708
T2D	LipFB	2.5741916	0.02097902
T2D	MetFB	-0.030292086	0.48351648
T2D	myoCAF	0.5684048	0.24575424
T2D	PapFB	0.98782426	0.17182817
T2D	ProFB	-0.49976245	0.7022977
T2D	UniFB	1.0322572	0.14885116
TBIL	ActFB	2.8300712	0.011988012
TBIL	apCAF	0.47996885	0.23476523
TBIL	CycFB	-0.38246277	0.6103896
TBIL	CytFB	1.840912	0.056943055
TBIL	DerFB	1.7756437	0.04095904
TBIL	DevFB	1.3258046	0.09090909
TBIL	EpiFB	1.0408543	0.14085914
TBIL	FCC	1.3693683	0.0959041
TBIL	FCPC	3.0566835	0.006993007
TBIL	iCAF	3.852326	0.002997003
TBIL	LipFB	2.4174323	0.026973028
TBIL	MetFB	2.3235364	0.016983017
TBIL	myoCAF	2.634888	0.014985015
TBIL	PapFB	-0.58338696	0.7202797
TBIL	ProFB	1.8602518	0.051948052
TBIL	UniFB	5.890895	0.000999001
TC	ActFB	2.644888	0.017982017
TC	apCAF	-0.13159806	0.44855145
TC	CycFB	2.7570498	0.014985015
TC	CytFB	2.2462838	0.02897103
TC	DerFB	-0.4346703	0.66433567
TC	DevFB	0.6653978	0.25774226
TC	EpiFB	-0.07697371	0.4955045
TC	FCC	1.571888	0.075924076
TC	FCPC	4.680379	0.000999001
TC	iCAF	3.876906	0.002997003
TC	LipFB	5.7897787	0.000999001
TC	MetFB	1.2165233	0.11388611
TC	myoCAF	5.239442	0.000999001
TC	PapFB	-1.174437	0.8751249
TC	ProFB	0.7571996	0.22177823
TC	UniFB	3.062226	0.011988012
TG	ActFB	0.27018085	0.32967034
TG	apCAF	0.39246798	0.24575424
TG	CycFB	2.4391294	0.02097902
TG	CytFB	2.5351558	0.024975024
TG	DerFB	1.772788	0.044955045
TG	DevFB	0.04044872	0.45454547
TG	EpiFB	2.0780125	0.025974026
TG	FCC	0.80588317	0.16683316
TG	FCPC	1.4050819	0.08791209
TG	iCAF	5.3830066	0.000999001
TG	LipFB	4.812822	0.001998002
TG	MetFB	1.5200989	0.066933066
TG	myoCAF	6.0870996	0.000999001
TG	PapFB	-0.34098336	0.6413586
TG	ProFB	1.4529717	0.07992008
TG	UniFB	6.6088743	0.000999001
TP	ActFB	5.8839755	0.000999001
TP	apCAF	1.91908	0.045954045
TP	CycFB	6.0802584	0.000999001
TP	CytFB	4.891088	0.005994006
TP	DerFB	0.86521405	0.1958042
TP	DevFB	1.0187725	0.15884116
TP	EpiFB	1.0496423	0.13586414
TP	FCC	2.6898086	0.014985015
TP	FCPC	5.7371426	0.000999001
TP	iCAF	1.3812355	0.08791209
TP	LipFB	5.0920153	0.002997003
TP	MetFB	3.7744071	0.004995005
TP	myoCAF	6.1057897	0.000999001
TP	PapFB	-0.2313427	0.58441556
TP	ProFB	3.5654178	0.004995005
TP	UniFB	2.7258003	0.014985015
TST	ActFB	-0.5009014	0.65334666
TST	apCAF	0.06694848	0.36363637
TST	CycFB	0.65392005	0.23076923
TST	CytFB	0.6287453	0.22577423
TST	DerFB	0.7987846	0.1978022
TST	DevFB	-0.53305465	0.68931067
TST	EpiFB	1.8656961	0.03696304
TST	FCC	0.88144934	0.15884116
TST	FCPC	0.7964524	0.1938062
TST	iCAF	2.2760823	0.027972028
TST	LipFB	2.6525161	0.016983017
TST	MetFB	0.842142	0.18581419
TST	myoCAF	5.5620074	0.000999001
TST	PapFB	1.7416706	0.044955045
TST	ProFB	0.63044655	0.24575424
TST	UniFB	3.3020532	0.006993007
UC	ActFB	5.6555114	0.000999001
UC	apCAF	-0.38493097	0.5854146
UC	CycFB	3.7191894	0.004995005
UC	CytFB	2.3644078	0.02897103
UC	DerFB	0.3003739	0.36563435
UC	DevFB	0.7554835	0.2057942
UC	EpiFB	3.317561	0.006993007
UC	FCC	2.7569723	0.011988012
UC	FCPC	4.763622	0.000999001
UC	iCAF	1.7681724	0.05294705
UC	LipFB	4.011675	0.002997003
UC	MetFB	4.3627396	0.000999001
UC	myoCAF	6.0337396	0.000999001
UC	PapFB	1.1791946	0.12287712
UC	ProFB	2.0971735	0.03196803
UC	UniFB	3.7624302	0.007992008
VNR	ActFB	2.6019921	0.016983017
VNR	apCAF	8.456043	0.000999001
VNR	CycFB	5.1405897	0.001998002
VNR	CytFB	9.851335	0.000999001
VNR	DerFB	-0.24898759	0.5954046
VNR	DevFB	0.9745641	0.17782217
VNR	EpiFB	1.1718484	0.11788212
VNR	FCC	-0.5577373	0.6813187
VNR	FCPC	-0.48209992	0.66433567
VNR	iCAF	1.2132937	0.11188811
VNR	LipFB	8.820338	0.000999001
VNR	MetFB	2.353714	0.016983017
VNR	myoCAF	4.2819963	0.003996004
VNR	PapFB	1.9701804	0.007992008
VNR	ProFB	5.793967	0.000999001
VNR	UniFB	1.1237226	0.13486513
WBC	ActFB	3.6514623	0.003996004
WBC	apCAF	1.5969918	0.075924076
WBC	CycFB	2.3339207	0.025974026
WBC	CytFB	3.6775703	0.007992008
WBC	DerFB	0.78333586	0.1928072
WBC	DevFB	-0.89373636	0.8291708
WBC	EpiFB	2.6161005	0.013986014
WBC	FCC	4.9406714	0.001998002
WBC	FCPC	3.718643	0.000999001
WBC	iCAF	4.9927087	0.001998002
WBC	LipFB	2.6975899	0.016983017
WBC	MetFB	4.0383244	0.000999001
WBC	myoCAF	6.2439876	0.000999001
WBC	PapFB	1.8020349	0.03696304
WBC	ProFB	2.690381	0.013986014
WBC	UniFB	8.717776	0.000999001
WHR	ActFB	5.0977	0.000999001
WHR	apCAF	1.1834259	0.10789211
WHR	CycFB	5.8471155	0.001998002
WHR	CytFB	2.0576985	0.04095904
WHR	DerFB	0.56268173	0.26573426
WHR	DevFB	0.3153694	0.35664335
WHR	EpiFB	1.7614017	0.050949052
WHR	FCC	3.6070223	0.004995005
WHR	FCPC	2.2482722	0.017982017
WHR	iCAF	1.3993803	0.07892108
WHR	LipFB	3.5186255	0.005994006
WHR	MetFB	1.9826716	0.030969031
WHR	myoCAF	0.94363785	0.16083916
WHR	PapFB	0.49181592	0.32767233
WHR	ProFB	2.4428546	0.017982017
WHR	UniFB	2.2840414	0.04195804
Worry	ActFB	3.6594837	0.004995005
Worry	apCAF	8.990229	0.000999001
Worry	CycFB	8.432436	0.000999001
Worry	CytFB	12.166	0.000999001
Worry	DerFB	0.71149135	0.21678321
Worry	DevFB	0.44522095	0.31868133
Worry	EpiFB	2.9189153	0.005994006
Worry	FCC	2.4421856	0.02097902
Worry	FCPC	2.760642	0.008991009
Worry	iCAF	4.5136423	0.000999001
Worry	LipFB	10.326391	0.000999001
Worry	MetFB	0.9532357	0.15584415
Worry	myoCAF	4.708335	0.002997003
Worry	PapFB	0.31770346	0.3856144
Worry	ProFB	6.031431	0.000999001
Worry	UniFB	2.101911	0.044955045
