CellType	Trait	Intersection_count	p_value	Label	Log10_Pvalue
apCAF	NRT	85	2.35710191057648e-06	85	5
MetFB	NRT	44	0.802376619363301		0.0956217348099732
EpiFB	NRT	44	0.802376619363301		0.0956217348099732
CytFB	NRT	56	0.44163469301998		0.354936817535828
PapFB	NRT	55	0.501905236930709		0.299378272821144
ProFB	NRT	48	0.878622323180772		0.0561977667990524
LipFB	NRT	45	0.873049688623731		0.058961038217681
FCPC	MorningPerson	36	0.368740599873128		0.433279042133142
myoCAF	MorningPerson	46	1		0
ActFB	MorningPerson	43	0.789678913883314		0.102549458424045
FCC	MorningPerson	37	0.40324108121299		0.394435229451261
iCAF	MorningPerson	40	0.570078911003356		0.244065024605895
UniFB	MorningPerson	39	0.570078911003356		0.244065024605895
CycFB	MorningPerson	43	0.789678913883314		0.102549458424045
DerFB	MorningPerson	42	0.789678913883314		0.102549458424045
DevFB	MorningPerson	43	0.789678913883314		0.102549458424045
apCAF	MorningPerson	83	8.56348454563317e-06	83	5
MetFB	MorningPerson	40	0.570078911003356		0.244065024605895
EpiFB	MorningPerson	47	1		0
CytFB	MorningPerson	62	0.170075948733481		0.769357097738751
PapFB	MorningPerson	68	0.0220837153031743	68	1.65592786029378
ProFB	MorningPerson	46	1		0
LipFB	MorningPerson	50	0.796191528732975		0.0989824475056206
FCPC	HAIR	60	0.111852219759578		0.951355392704856
myoCAF	HAIR	54	0.341100682894458		0.467117411120313
ActFB	HAIR	58	0.157194141926025		0.80356364262617
FCC	HAIR	59	0.125598245342988		0.9010164278216
iCAF	HAIR	60	0.111852219759578		0.951355392704856
UniFB	HAIR	57	0.194553152850507		0.710961726800703
CycFB	HAIR	59	0.125598245342988		0.9010164278216
DerFB	HAIR	61	0.104242807119135		0.981953902169459
DevFB	HAIR	56	0.237803296241528		0.623782129828408
apCAF	HAIR	64	0.0567874769234979		1.24574742665981
MetFB	HAIR	68	0.0220837153031743	68	1.65592786029378
EpiFB	HAIR	53	0.399917519542193		0.398029569925397
CytFB	HAIR	64	0.0567874769234979		1.24574742665981
PapFB	HAIR	63	0.0687651616242216		1.16263153191542
